FILE > Make a Copy,,,,,,,,
Created by Brian Kurtz and Chris Mason,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Pretend you are someone in your market/niche and fill in the answers below.,,,,,,,,
,,,,Dimensions,,,,
"Market's Desire - ""I want to...""",So I can...,So I can,So I can...,Urgency (1-5),Staying Power (1-5),Scope (1-5),,Score
I want to make more money,Provide a better life for my family,Give my kids opportunities I didn't have,Feel like I'm a good parent,3,5,3,,11
I want to be my own boss.,Decide what I work on and how I spend my time,Pour myself into the things I'm interested in.,"Face the end of my life knowing I lived it on my terms, without regret.",4,5,4,,13
I want to lose 50 pounds in 6 months,Feel confident in a swimsuit,Feel what it's like to have guys/girls notice me again,Finally meet someone special to build a relationship with.,4,5,5,,14
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Market's Desire,What will they tell?,What won't they tell?,What can't they tell?,,,,,
I want to make more money,I have had some success in the past,I'm not good at managing my money,I don't know how to put money to work for me,3,3,4,,10
I want to be my own boss.,I hate my job and I'm sick of doing all this work for someone else's bottom line.,"If I quit my job, I want everything to be easy and secure with minimal risk.",I'd be happy with a different job working on something I'm interested in.,4,4,4,,12
I want to lose 50 pounds in 6 months,I've tried every diet in the last 2 years,I usually give up halfway through the 2nd month,I have a history of self sabatoging myself,5,4,4,,13
,,,,,,,,
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
