id,idea,room_rationale,awareness_level,urgency,staying_power,scope,hook_fortune_teller,hook_experimenter,hook_teacher,hook_investigator,hook_contrarian
1,"Why you feel worse after good doctor appointments than bad ones","Anyone who's ever left a positive medical appointment feeling inexplicably exhausted will stop. The contradiction is universal — the medical trauma explanation serves the niche.",unaware,5,5,5,"Next time you leave a good appointment and still crash, you'll understand why relief doesn't equal safety in your nervous system.","I started tracking my energy after appointments. The ones with good news wiped me out worse than the scary ones.","Your body spikes symptoms after good appointments because your nervous system spent the entire visit braced for bad news — the relief comes after the bill is paid.","Good appointments cost more energy than bad ones. Your nervous system was in threat mode the whole time, and finding out you're safe doesn't refund what you spent staying ready.","The appointment that went well is the one that wrecked you for three days. That's not irony — that's how threat response works when medical settings are coded as danger."
2,"The specific moment you started performing energy you don't have","Everyone has faked energy to get through something. Strangers relate to the performance; the niche understands why it became permanent.",problem_aware,4,5,5,"You'll keep performing energy until you identify the exact moment pretending became your default. Then you can't unsee it.","I can name the appointment where I started acting more okay than I was. It wasn't conscious — someone looked relieved when I smiled, so I kept smiling.","You started performing energy the first time someone's face changed when you told the truth about how you felt. Their relief became your job.","There's a specific interaction where you learned your real energy level made people uncomfortable. You've been managing their comfort ever since.","You're not tired because of your condition. You're tired because you've been performing a version of yourself that doesn't exist for people who can't handle the real one."
3,"Why rest makes you more tired instead of less","Universal frustration. Everyone has rested and felt worse. The dysregulation explanation connects it to bodies that have been through medical trauma.",unaware,5,4,5,"In six months, you'll understand that rest only works when your nervous system knows you're actually safe. Right now, rest feels like waiting for the next bad thing.","I rested for three days straight and woke up more exhausted. My body wasn't recovering — it was staying ready.","Rest makes you more tired when your nervous system interprets stillness as vulnerability. You're not recharging, you're on high alert with nothing to distract you from it.","Your body reads rest as exposure. No tasks, no performance, nothing between you and the awareness that something could go wrong — so it never actually powers down.","Rest isn't restorative when your body thinks being still makes you an easier target. That's why you feel more wired after a day off than after pushing through."
4,"Why you crash the day after you felt almost normal","The boom-bust cycle is universal. Strangers know the feeling of paying for one good day. The medical-body context explains why it's not just 'overdoing it.'",unaware,5,5,5,"The next time you have one good day and crash for three, you'll see it's not punishment — it's your body equalizing what it spent pretending to be fine.","I tracked six months of good days. Every single one cost me three days after. It wasn't activity level — it was the performance of normal.","You crash after good days because your body spent energy you didn't have maintaining the illusion of capacity. The bill comes due regardless of what you actually did.","The good day wasn't free. You borrowed against a body that doesn't have reserves, and the crash is the invoice for pretending you did.","You didn't overdo it on the good day. You performed normal so convincingly that your body paid the cost of something you didn't actually feel."
5,"The specific lie you tell yourself in the morning that ruins the whole day","Everyone has a morning lie they tell themselves. Strangers relate to self-deception; this audience knows the exact flavor of 'maybe today I'll feel better.'",problem_aware,4,4,5,"Once you identify the exact lie you tell yourself every morning, you'll see how it sets you up to fail by noon.","For two months, I wrote down my first thought every morning. 80% of the time it was 'maybe I'll feel better today' — and that hope was the thing that tanked me.","The lie is 'maybe today will be different.' That hope makes you plan for a body you don't have, and by lunch you're managing the gap between what you expected and what's real.","You wake up and immediately assess whether today might be a good day. That assessment — not your symptoms — is what determines whether you spiral by afternoon.","The most dangerous thought isn't 'I feel terrible.' It's 'maybe I'll feel better later.' That hope makes you borrow against a future that never arrives."
6,"Why you can't remember the last time you felt like yourself","Universal identity crisis post-trauma. Strangers relate to losing themselves; this audience knows it's tied to a body that changed faster than their brain could process.",problem_aware,5,5,4,"You'll realize the version of yourself you're trying to get back to doesn't exist anymore — and that's when you can finally build something new.","I tried to name the last time I felt like myself. I couldn't. Because 'myself' became 'before' and I've been chasing a ghost.","You can't remember feeling like yourself because your identity is still mapped to a body that no longer exists. You're trying to inhabit a blueprint that doesn't match the building.","The 'self' you're trying to get back to was built for a body you don't have. You're not lost — you're trying to run software on incompatible hardware.","You don't miss yourself. You miss the certainty of knowing what your body would do. That's not identity — it's predictability, and you're grieving the wrong thing."
7,"Why you feel guilty for being tired when you 'didn't do anything'","Universal guilt around rest. Everyone has felt lazy for being tired when they weren't 'productive.' The invisible labor explanation serves bodies doing survival work 24/7.",unaware,4,4,5,"You'll stop feeling guilty about being tired when you understand that keeping a compromised body operational is a full-time job with no days off.","I started naming everything my body was doing while I was 'doing nothing.' Turns out, managing organ function with missing parts is actually something.","You're tired because your body is doing the work of systems that no longer exist. Being alive with your specific alterations is the labor — everything else is overtime.","Your body is running compensatory systems around the clock to do what used to be automatic. That's not 'nothing' — that's why you're exhausted by breakfast.","You didn't 'do nothing' today. You kept a restructured body operational for 16 hours. That's the job. Everything else is bonus labor you're judging yourself for not completing."
8,"The exact sentence that made you stop talking about how you really feel","Everyone has been silenced by someone's discomfort. Strangers know the feeling of being too much; this audience knows it happened while actively surviving something.",problem_aware,5,5,5,"Once you remember the exact moment you learned your reality was too heavy for people, you'll see why you've been editing yourself ever since.","Someone said 'at least you're alive' when I tried to explain how hard recovery was. I haven't told the truth about my body since.","You stopped talking about how you feel the moment someone responded to your reality with relief that it wasn't theirs. Their gratitude became your silence.","There's a specific sentence someone said that taught you your experience makes people uncomfortable. You've been managing their comfort by performing fine ever since.","You're not private about your condition. You're protecting other people from having to sit with the reality of what happened to you. That's not boundaries — that's performing for their comfort."
9,"Why strangers treat you like inspiration when you're just trying to exist","Universal frustration of unwanted attention/projection. Strangers know what it's like to be someone's motivation without consent; this audience knows it's about visible medical reality.",problem_aware,4,4,4,"You'll understand why being called inspiring feels like violence once you realize they're celebrating their own relief that they're not you.","A stranger called me inspiring for buying groceries. I wanted to scream. I'm not brave — I'm out of milk.","You're not their inspiration. You're their nightmare made survivable. They need you to be okay so they can believe they would be too.","When strangers call you inspiring, they're processing their own fear of what happened to you. You became their proof that they could handle it — without asking if you are.","Being called inspiring isn't a compliment. It's strangers outsourcing their fear of becoming you by turning your survival into their comfort. You didn't consent to be their evidence."
10,"Why your body feels like it belongs to doctors instead of you","Universal medical trauma. Anyone who's been through extended medical care knows this alienation. The permanent alteration makes it ongoing, not a phase.",problem_aware,5,5,4,"You'll keep feeling like a patient instead of a person until you do one thing in your body that no doctor ordered, tracked, or has an opinion about.","I realized I couldn't name a single thing I do with my body that isn't managing what they did to it. Even rest is medical compliance.","Your body feels like it belongs to doctors because every interaction with it is filtered through what they removed, rerouted, or monitor. You're maintaining their work, not living in yours.","You became the building manager for a structure doctors renovated. Every choice is about maintaining their alterations — you haven't lived in your own body since they restructured it.","Your body doesn't feel like yours because it isn't. It's a post-surgical maintenance project you inherited. Ownership comes from doing something with it that has nothing to do with keeping it running."
